object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,dash,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,path,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
rect,1,18.0,594,398.022,774,18,18,393.978,576.0,375.978,,,0,0,,0.5,,,,,,"[('m', (18.0, 393.978)), ('l', (594.0, 393.978)), ('l', (594.0, 18.0)), ('l', (18.0, 18.0)), ('l', (18.0, 393.978))]","[(18.0, 393.978), (594, 393.978), (594, 18), (18.0, 18)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,594.072,761.998,774.0,18.0,18.0,30.001999999999953,576.072,12.001999999999953,,,0,0,,0.5,,,,,,"[('m', (18.0, 30.001999999999953)), ('l', (594.072, 30.001999999999953)), ('l', (594.072, 18.0)), ('l', (18.0, 18.0)), ('h',)]","[(18.0, 30.001999999999953), (594.072, 30.001999999999953), (594.072, 18.0), (18.0, 18.0)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,594.0,704.188,737.325,54.674999999999955,54.674999999999955,87.81200000000001,576.0,33.13700000000006,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 87.81200000000001)), ('l', (594.0, 87.81200000000001)), ('l', (594.0, 54.674999999999955)), ('l', (18.0, 54.674999999999955)), ('h',)]","[(18.0, 87.81200000000001), (594.0, 87.81200000000001), (594.0, 54.674999999999955), (18.0, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,183.6,725.788,737.325,54.674999999999955,54.674999999999955,66.21199999999999,165.6,11.537000000000035,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 66.21199999999999)), ('l', (183.6, 66.21199999999999)), ('l', (183.6, 54.674999999999955)), ('l', (18.0, 54.674999999999955)), ('h',)]","[(18.0, 66.21199999999999), (183.6, 66.21199999999999), (183.6, 54.674999999999955), (18.0, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
rect,1,183.6,320.4,725.788,737.325,54.674999999999955,54.674999999999955,66.21199999999999,136.79999999999998,11.537000000000035,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (183.6, 66.21199999999999)), ('l', (320.4, 66.21199999999999)), ('l', (320.4, 54.674999999999955)), ('l', (183.6, 54.674999999999955)), ('h',)]","[(183.6, 66.21199999999999), (320.4, 66.21199999999999), (320.4, 54.674999999999955), (183.6, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
rect,1,320.4,457.2,725.788,737.325,54.674999999999955,54.674999999999955,66.21199999999999,136.8,11.537000000000035,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (320.4, 66.21199999999999)), ('l', (457.2, 66.21199999999999)), ('l', (457.2, 54.674999999999955)), ('l', (320.4, 54.674999999999955)), ('h',)]","[(320.4, 66.21199999999999), (457.2, 66.21199999999999), (457.2, 54.674999999999955), (320.4, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
rect,1,457.2,594.0,725.788,737.325,54.674999999999955,54.674999999999955,66.21199999999999,136.8,11.537000000000035,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (457.2, 66.21199999999999)), ('l', (594.0, 66.21199999999999)), ('l', (594.0, 54.674999999999955)), ('l', (457.2, 54.674999999999955)), ('h',)]","[(457.2, 66.21199999999999), (594.0, 66.21199999999999), (594.0, 54.674999999999955), (457.2, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
rect,1,115.2,183.60000000000002,704.188,725.788,66.21199999999999,66.21199999999999,87.81200000000001,68.40000000000002,21.600000000000023,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (115.2, 87.81200000000001)), ('l', (183.60000000000002, 87.81200000000001)), ('l', (183.60000000000002, 66.21199999999999)), ('l', (115.2, 66.21199999999999)), ('h',)]","[(115.2, 87.81200000000001), (183.60000000000002, 87.81200000000001), (183.60000000000002, 66.21199999999999), (115.2, 66.21199999999999)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,54.0,494.9,567.3879999999999,224.61200000000008,224.61200000000008,297.1,36.0,72.48799999999994,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 297.1)), ('l', (54.0, 297.1)), ('l', (54.0, 224.61200000000008)), ('l', (18.0, 224.61200000000008)), ('h',)]","[(18.0, 297.1), (54.0, 297.1), (54.0, 224.61200000000008), (18.0, 224.61200000000008)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,54.0,542.908,567.388,224.61199999999997,224.61199999999997,249.09199999999998,36.0,24.480000000000018,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 249.09199999999998)), ('l', (54.0, 249.09199999999998)), ('l', (54.0, 224.61199999999997)), ('l', (18.0, 224.61199999999997)), ('h',)]","[(18.0, 249.09199999999998), (54.0, 249.09199999999998), (54.0, 224.61199999999997), (18.0, 224.61199999999997)]",,1,"(0, 0, 0)",,,,
