index,x1,y1,x2,y2
1,75,75,2474,124
2,75,125,195,227
3,196,125,705,227
4,706,125,990,227
5,991,125,1170,227
6,1171,126,1380,227
7,1381,126,1590,227
8,1591,126,1740,227
9,1741,126,1920,227
10,1921,126,2145,227
11,2147,126,2474,227
12,75,228,764,275
13,765,228,1334,275
14,1338,228,1904,275
15,1905,228,2474,275
16,75,276,479,364
17,480,276,764,364
18,765,276,1334,364
19,1338,276,1904,364
20,1905,276,2474,365
21,75,367,163,935
22,166,367,764,829
23,766,366,1334,830
24,1338,366,1904,830
25,1905,367,2474,442
26,1905,443,2474,519
27,1905,520,2474,596
28,1905,597,2474,673
29,1905,674,2474,750
30,1905,751,2474,830
31,376,831,764,935
32,766,831,1334,935
33,1335,831,1904,935
34,1905,831,2129,935
35,2130,831,2474,935
36,75,936,224,1037
37,225,936,449,1038
38,450,936,674,1038
39,675,936,899,1038
40,900,936,1124,1038
41,1125,936,1349,1038
42,1350,936,1574,1038
43,1575,936,1799,1038
44,1800,936,2024,1038
45,2025,936,2249,1038
46,2250,936,2474,1038
47,75,1038,224,1137
48,225,1039,434,1138
49,435,1039,704,1138
50,705,1039,929,1138
51,930,1039,1199,1138
52,1200,1039,1424,1138
53,1425,1039,1559,1138
54,1560,1039,1634,1138
55,1635,1039,1859,1138
56,1860,1039,2084,1138
57,2085,1039,2159,1138
58,2160,1039,2234,1138
59,2235,1039,2474,1138
60,75,1138,224,1237
61,225,1139,434,1238
62,435,1139,614,1238
63,615,1139,764,1238
64,765,1139,944,1238
65,945,1139,1154,1238
66,1155,1139,1364,1238
67,1365,1139,1484,1238
68,1485,1139,1634,1238
69,1635,1139,1814,1238
70,1815,1139,1994,1238
71,1995,1139,2189,1238
72,2190,1139,2279,1238
73,2280,1139,2474,1238
74,75,1239,374,1338
75,377,1239,614,1338
76,615,1239,914,1338
77,915,1239,1169,1338
78,1170,1239,1454,1338
79,1455,1239,1664,1338
80,1665,1239,1919,1338
81,1920,1239,2174,1338
82,2175,1239,2474,1338
83,75,1339,374,1436
84,377,1339,614,1436
85,615,1339,914,1437
86,915,1339,1169,1437
87,1170,1339,1454,1438
88,1455,1339,1664,1438
89,1665,1339,1919,1438
90,1920,1339,2174,1438
91,2175,1339,2474,1438
92,75,1439,374,1535
93,377,1439,695,1535
94,696,1439,1013,1535
95,1335,1439,1652,1536
96,1653,1439,2042,1537
97,2044,1439,2474,1538
98,1014,1440,1332,1535
99,75,1539,374,1638
100,375,1539,724,1639
101,725,1539,1074,1639
102,1075,1539,1253,1639
103,1255,1539,1404,1639
104,1407,1539,1553,1639
105,1555,1539,1704,1639
106,1706,1539,1823,1640
107,2309,1539,2474,1640
108,1826,1540,1973,1640
109,1977,1540,2154,1640
110,2160,1540,2304,1640
111,75,1696,2474,2530
