mha,E1,E2,E3,E4,E5,E6,E7,E8,E9,W1,W2,W3,W4,W5,O1E,O2E,O3E,O1,O2,O3,O4,O5,O6,O7
AK400,2646,2646,2646,2646,2868,2886,3027,3213,3441,2889,3102,3336,3480,3660,3060,3300,3510,2880,2883,3327,3720,4002,4035,4065
AK401,2355,2355,2355,2355,3210,3228,3294,3399,3513,3231,3336,3465,3531,3618,3312,3447,3546,3222,3225,3462,3639,3768,3798,3825
AK402,2580,2580,2580,2580,3354,3372,3432,3531,3672,3375,3471,3597,3699,3831,3447,3576,3720,3366,3369,3594,3873,4074,4110,4140
AK403,2436,2436,2436,2436,2865,2883,2970,3096,3282,2886,3021,3177,3321,3498,2991,3153,3348,2877,2880,3174,3555,3831,3861,3891
AK404,2277,2277,2277,2277,2874,2892,3045,3240,3486,2895,3123,3369,3528,3723,3078,3333,3558,2886,2889,3360,3789,4095,4131,4161
AK405,2106,2106,2106,2106,2436,2454,2610,2814,3018,2457,2694,2943,3045,3171,2646,2907,3066,2448,2451,2937,3210,3405,3432,3456
AL001,1176,1176,1176,1176,1185,1491,1560,1638,1755,1509,1590,1689,1782,1899,1572,1671,1800,1230,1488,1686,1935,2115,2130,2142
AL002,1440,1440,1440,1440,1572,1743,1929,2136,2346,1761,2013,2268,2373,2502,1968,2232,2394,1602,1740,2262,2541,2742,2760,2778
AL003,1668,1668,1668,1668,1797,2079,2133,2187,2286,2097,2154,2229,2307,2415,2139,2214,2325,1839,2076,2226,2445,2607,2625,2640
AL004,1731,1731,1731,1731,1887,2073,2118,2169,2286,2091,2139,2205,2319,2463,2124,2193,2340,1917,2070,2202,2508,2730,2751,2766
AL005,1605,1605,1605,1605,1683,1758,1818,1887,2034,1773,1845,1935,2073,2244,1827,1920,2100,1701,1755,1932,2298,2565,2583,2598
AL006,1617,1617,1617,1617,1707,1833,2043,2274,2502,1851,2136,2421,2532,2673,2085,2379,2556,1731,1830,2412,2718,2934,2955,2976
AL007,2223,2223,2223,2223,2439,2532,2550,2559,2583,2547,2556,2568,2598,2682,2553,2562,2613,2457,2529,2565,2703,2826,2847,2865
AR010,1758,1758,1758,1758,1848,1941,1959,1968,2061,1956,1965,1977,2100,2274,1962,1971,2127,1869,1938,1974,2328,2598,2619,2634
AR012,1173,1173,1173,1173,1263,1680,1785,1893,2028,1701,1827,1965,2052,2166,1803,1944,2070,1320,1677,1962,2199,2370,2388,2400
AR411,1662,1662,1662,1662,1782,2040,2154,2280,2439,2058,2205,2361,2466,2601,2175,2337,2487,1821,2037,2355,2640,2847,2868,2886
AZ013,2061,2061,2061,2061,2289,2457,2475,2484,2517,2472,2481,2493,2535,2622,2478,2487,2547,2319,2454,2490,2646,2775,2796,2814
AZ014,1569,1569,1569,1569,1719,2193,2217,2226,2250,2214,2223,2235,2265,2343,2220,2229,2277,1782,2190,2232,2364,2481,2499,2511
AZ015,1695,1695,1695,1695,1905,2121,2145,2178,2253,2136,2157,2202,2274,2373,2148,2190,2289,1938,2118,2199,2400,2550,2568,2583
AZ016,1551,1551,1551,1551,1695,1845,1917,1998,2115,1860,1950,2052,2139,2253,1929,2034,2157,1722,1842,2049,2283,2454,2472,2487
CA018,3471,3471,3471,3471,3759,4113,4203,4299,4488,4134,4242,4365,4533,4740,4218,4344,4566,3807,4110,4362,4809,5133,5178,5220
CA019,4764,4764,4764,4764,5127,5454,5490,5529,5799,5472,5505,5559,5892,6297,5493,5547,5955,5172,5451,5556,6444,7089,7155,7215
CA021,1524,1524,1524,1524,1563,1767,1905,2058,2238,1785,1968,2157,2268,2403,1932,2130,2289,1596,1764,2154,2445,2658,2676,2694
CA022,2175,2175,2175,2175,2439,2826,2868,2910,3015,2847,2883,2940,3042,3174,2871,2928,3063,2490,2823,2937,3213,3414,3441,3465
CA023,1944,1944,1944,1944,2139,2277,2337,2406,2514,2292,2364,2454,2535,2643,2346,2439,2553,2166,2274,2451,2673,2835,2856,2874
CA024,3627,3627,3627,3627,3963,4398,4494,4596,4779,4419,4536,4662,4824,5019,4512,4644,4854,4023,4395,4659,5085,5391,5439,5484
