mha,E1,E2,E3,E4,E5,E6,E7,E8,E9,W1,W2,W3,W4,W5,O1E,O2E,O3E,O1,O2,O3,O4,O5,O6,O7
AK400,1986,1986,1986,1986,2151,2163,2382,2682,2739,2289,2679,2751,2892,3069,2631,2727,2847,2160,2550,2772,3036,3141,3315,3372
AK401,1767,1767,1767,1767,2409,2421,2472,2550,2775,2424,2511,2802,3213,3315,2484,2715,3189,2418,2475,2886,3294,3348,3444,3504
AK402,1935,1935,1935,1935,2517,2529,2574,2724,2958,2532,2721,2982,3357,3453,2586,2904,3333,2526,2577,3060,3432,3483,3573,3636
AK403,1827,1827,1827,1827,2148,2160,2229,2514,2637,2163,2511,2655,2874,2997,2421,2610,2844,2157,2349,2694,2970,3039,3156,3213
AK404,1707,1707,1707,1707,2157,2169,2283,2430,2616,2172,2385,2619,2901,3087,2310,2523,2853,2166,2286,2643,3051,3162,3348,3405
AK405,1581,1581,1581,1581,1827,1887,1989,2166,2265,1965,2163,2271,2463,2655,2091,2235,2415,1881,2064,2301,2619,2733,2922,2973
AL001,1065,1065,1065,1065,1119,1164,1191,1251,1335,1188,1248,1347,1500,1575,1197,1314,1482,1161,1194,1377,1557,1596,1665,1692
AL002,1167,1167,1167,1167,1251,1317,1446,1611,1761,1407,1608,1764,1800,1977,1569,1674,1797,1305,1533,1767,1941,2058,2247,2283
AL003,1284,1284,1284,1284,1443,1557,1671,1860,1935,1635,1857,1947,2085,2142,1794,1917,2070,1536,1758,1974,2127,2154,2205,2241
AL004,1302,1302,1302,1302,1473,1587,1734,1929,1974,1689,1926,1983,2076,2127,1884,1965,2064,1572,1839,2001,2112,2136,2181,2217
AL005,1269,1269,1269,1269,1431,1527,1605,1704,1713,1590,1701,1719,1764,1833,1680,1710,1746,1524,1662,1725,1815,1923,1938,1950
AL006,1407,1407,1407,1407,1473,1527,1617,1740,1878,1596,1737,1881,1920,2094,1704,1785,1917,1521,1680,1884,2055,2202,2400,2439
AL007,1668,1668,1668,1668,1878,2031,2232,2463,2478,2160,2460,2484,2520,2532,2436,2472,2517,2007,2370,2490,2523,2535,2538,2556
AR010,1341,1341,1341,1341,1548,1671,1758,1875,1887,1740,1872,1893,1932,1947,1845,1884,1929,1665,1824,1902,1935,1950,1965,1977
AR012,879,879,879,879,996,1260,1338,1419,1521,1278,1371,1524,1701,1809,1353,1458,1674,1077,1341,1527,1785,1842,1944,1974
