zipcode;index;mha_name
00501;1;Long Island, NY
00544;1;Long Island, NY
01701;2;Boston, MA
01702;2;Boston, MA
01703;2;Boston, MA
01704;2;Boston, MA
01705;2;Boston, MA
01721;2;Boston, MA
01745;2;Boston, MA
01746;2;Boston, MA
01748;2;Boston, MA
01760;2;Boston, MA
01770;2;Boston, MA
01772;2;Boston, MA
01776;2;Boston, MA
01778;2;Boston, MA
01784;2;Boston, MA
01801;2;Boston, MA
01813;2;Boston, MA
01815;2;Boston, MA
01822;2;Boston, MA
01864;2;Boston, MA
01867;2;Boston, MA
01880;2;Boston, MA
01889;2;Boston, MA
01890;2;Boston, MA
01901;2;Boston, MA
01902;2;Boston, MA
01903;2;Boston, MA
01904;2;Boston, MA
01905;2;Boston, MA
01906;2;Boston, MA
01907;2;Boston, MA
01908;2;Boston, MA
01910;2;Boston, MA
01915;2;Boston, MA
01923;2;Boston, MA
01937;2;Boston, MA
01940;2;Boston, MA
01945;2;Boston, MA
01949;2;Boston, MA
01960;2;Boston, MA
01970;2;Boston, MA
02021;2;Boston, MA
02025;2;Boston, MA
02026;2;Boston, MA
02027;2;Boston, MA
02030;2;Boston, MA
02032;2;Boston, MA
02035;2;Boston, MA
02043;2;Boston, MA
02045;2;Boston, MA
02048;2;Boston, MA
02052;2;Boston, MA
02053;2;Boston, MA
02054;2;Boston, MA
02056;2;Boston, MA
02061;2;Boston, MA
02062;2;Boston, MA
02066;2;Boston, MA
02067;2;Boston, MA
02071;2;Boston, MA
02072;2;Boston, MA
02081;2;Boston, MA
02090;2;Boston, MA
02108;2;Boston, MA
02109;2;Boston, MA
02110;2;Boston, MA
02111;2;Boston, MA
02112;2;Boston, MA
02113;2;Boston, MA
02114;2;Boston, MA
02115;2;Boston, MA
02116;2;Boston, MA
02117;2;Boston, MA
02118;2;Boston, MA
02119;2;Boston, MA
02120;2;Boston, MA
02121;2;Boston, MA
02122;2;Boston, MA
02123;2;Boston, MA
02124;2;Boston, MA
02125;2;Boston, MA
02126;2;Boston, MA
02127;2;Boston, MA
02128;2;Boston, MA
02129;2;Boston, MA
02130;2;Boston, MA
02131;2;Boston, MA
02132;2;Boston, MA
02133;2;Boston, MA
02134;2;Boston, MA
02135;2;Boston, MA
02136;2;Boston, MA
02137;2;Boston, MA
02138;2;Boston, MA
02139;2;Boston, MA
02140;2;Boston, MA
02141;2;Boston, MA
02142;2;Boston, MA
02143;2;Boston, MA
02144;2;Boston, MA
02145;2;Boston, MA
02148;2;Boston, MA
02149;2;Boston, MA
02150;2;Boston, MA
02151;2;Boston, MA
02152;2;Boston, MA
02153;2;Boston, MA
02155;2;Boston, MA
02156;2;Boston, MA
02163;2;Boston, MA
02169;2;Boston, MA
02170;2;Boston, MA
02171;2;Boston, MA
02176;2;Boston, MA
02180;2;Boston, MA
02184;2;Boston, MA
02185;2;Boston, MA
02186;2;Boston, MA
02187;2;Boston, MA
02188;2;Boston, MA
02189;2;Boston, MA
02190;2;Boston, MA
02191;2;Boston, MA
02196;2;Boston, MA
02199;2;Boston, MA
02201;2;Boston, MA
02203;2;Boston, MA
02204;2;Boston, MA
02205;2;Boston, MA
02206;2;Boston, MA
02210;2;Boston, MA
02211;2;Boston, MA
02212;2;Boston, MA
02215;2;Boston, MA
02217;2;Boston, MA
02222;2;Boston, MA
02238;2;Boston, MA
02241;2;Boston, MA
02269;2;Boston, MA
02283;2;Boston, MA
02284;2;Boston, MA
02293;2;Boston, MA
02297;2;Boston, MA
02298;2;Boston, MA
02301;2;Boston, MA
02302;2;Boston, MA
02322;2;Boston, MA
02339;2;Boston, MA
02343;2;Boston, MA
02351;2;Boston, MA
02356;2;Boston, MA
02368;2;Boston, MA
02370;2;Boston, MA
02420;2;Boston, MA
02421;2;Boston, MA
02445;2;Boston, MA
02446;2;Boston, MA
02447;2;Boston, MA
02451;2;Boston, MA
02452;2;Boston, MA
02453;2;Boston, MA
02454;2;Boston, MA
02455;2;Boston, MA
02456;2;Boston, MA
02457;2;Boston, MA
02458;2;Boston, MA
02459;2;Boston, MA
02460;2;Boston, MA
02461;2;Boston, MA
02462;2;Boston, MA
02464;2;Boston, MA
02465;2;Boston, MA
02466;2;Boston, MA
02467;2;Boston, MA
02468;2;Boston, MA
02471;2;Boston, MA
02472;2;Boston, MA
02474;2;Boston, MA
02475;2;Boston, MA
02476;2;Boston, MA
02477;2;Boston, MA
02478;2;Boston, MA
02479;2;Boston, MA
02481;2;Boston, MA
02482;2;Boston, MA
02492;2;Boston, MA
02493;2;Boston, MA
02494;2;Boston, MA
02495;2;Boston, MA
02535;1;Martha'S Vineyard, MA
02539;1;Martha'S Vineyard, MA
02552;1;Martha'S Vineyard, MA
02554;1;Nantucket, MA
02557;1;Martha'S Vineyard, MA
02564;1;Nantucket, MA
02568;1;Martha'S Vineyard, MA
02575;1;Martha'S Vineyard, MA
02584;1;Nantucket, MA
06390;1;Long Island, NY
07002;3;Staten Island, NY
10001;8;New York City, NY
10002;8;New York City, NY
10003;8;New York City, NY
10004;8;New York City, NY
10005;8;New York City, NY
10006;8;New York City, NY
10007;8;New York City, NY
10008;8;New York City, NY
10009;8;New York City, NY
10010;8;New York City, NY
10011;8;New York City, NY
10012;8;New York City, NY
10013;8;New York City, NY
10014;8;New York City, NY
10016;8;New York City, NY
10017;8;New York City, NY
10018;8;New York City, NY
10019;8;New York City, NY
10020;8;New York City, NY
10021;8;New York City, NY
10022;8;New York City, NY
10023;8;New York City, NY
10024;8;New York City, NY
10025;8;New York City, NY
10026;8;New York City, NY
10027;8;New York City, NY
10028;8;New York City, NY
10029;8;New York City, NY
10030;8;New York City, NY
10031;8;New York City, NY
10032;8;New York City, NY
10033;8;New York City, NY
10034;8;New York City, NY
10035;8;New York City, NY
10036;8;New York City, NY
10037;8;New York City, NY
10038;8;New York City, NY
10039;8;New York City, NY
10040;8;New York City, NY
10041;8;New York City, NY
10043;8;New York City, NY
10044;8;New York City, NY
10045;8;New York City, NY
10055;8;New York City, NY
10060;8;New York City, NY
10065;8;New York City, NY
10069;8;New York City, NY
10075;8;New York City, NY
10080;8;New York City, NY
10081;8;New York City, NY
10087;8;New York City, NY
10090;8;New York City, NY
10101;8;New York City, NY
10102;8;New York City, NY
10103;8;New York City, NY
10104;8;New York City, NY
10105;8;New York City, NY
10106;8;New York City, NY
10107;8;New York City, NY
10108;8;New York City, NY
10109;8;New York City, NY
10110;8;New York City, NY
10111;8;New York City, NY
10112;8;New York City, NY
10113;8;New York City, NY
10114;8;New York City, NY
10115;8;New York City, NY
10116;8;New York City, NY
10117;8;New York City, NY
10118;8;New York City, NY
10119;8;New York City, NY
10120;8;New York City, NY
10121;8;New York City, NY
10122;8;New York City, NY
10123;8;New York City, NY
10124;8;New York City, NY
10125;8;New York City, NY
10126;8;New York City, NY
10128;8;New York City, NY
10129;8;New York City, NY
10130;8;New York City, NY
10131;8;New York City, NY
10132;8;New York City, NY
10133;8;New York City, NY
10138;8;New York City, NY
10150;8;New York City, NY
10151;8;New York City, NY
10152;8;New York City, NY
10153;8;New York City, NY
10154;8;New York City, NY
10155;8;New York City, NY
10156;8;New York City, NY
10157;8;New York City, NY
10158;8;New York City, NY
10159;8;New York City, NY
10160;8;New York City, NY
10162;8;New York City, NY
10163;8;New York City, NY
10164;8;New York City, NY
10165;8;New York City, NY
10166;8;New York City, NY
