header,varname,shortname,longname,sign,required,onetime,standard,tax,option,custom,modal
Base Pay,base_pay,BASE PAY,Base Pay,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,basepay
BAS,bas,BAS,Basic Allowance for Subsistence,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,bas
Meal Discount,meal_discount,DSCT,Meal Discount,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,bas
SEA,sea,SEA,Subsistence Expense Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,bas
Separation Rations,separation_rations,SR,Separation Rations,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,bas
BAH,bah,BAH,Basic Allowance for Housing,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,bah
BAQ,baq,BAQ,Basic Allowance for Quarters,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,bah
LQA,lqa,LQA,Living Quarters Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,bah
CONUS COLA,conus_cola,CONUS COLA,Continental U.S. Cost of Living Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,cola
OCONUS COLA,oconus_cola,OCONUS COLA,Outside Continental U.S. Cost of Living Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,cola
OHA,oha,OHA,Overseas Housing Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,bah
FLPB,flpb,FLPB,Foreign Language Profiency Bonus,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,flpb
Foreign Duty Pay,foreign_duty_pay,FDP,Foreign Duty Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,fdp
ASP,asp,ASP,Additional Special Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
Dive Pay,dive_pay,DP,Dive Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
Jump Pay,jump_pay,JP,Jump Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
HALO,halo,HALO,High Altitude/Low Altitude Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
MSP,msp,MSP,Multiyear Special Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
SDAP,sdap,SDAP,Special Duty Assignment Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
Special Duty Pay,special_duty_pay,SDP,Special Duty Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
Specialty Pay,specialty_pay,SP,Specialty Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
Variable Special Pay,variable_special_pay,VSP,Variable Special Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
BCP,bcp,BCP,Board Certified Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,specialty
Combat Duty,combat_duty,CD,Combat Duty,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,combat
Combat Zone Pay,combat_zone_pay,CZP,Combat Zone Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,combat
HFP/IDP,hfpidp,HFP/IDP,Hostile Fire/Imminent Danger Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,combat
HFP-L,hfpl,HFP-L,Hostile Fire Pay - Location,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,combat
Hazardous Duty Pay,hazardous_duty_pay,HZD,Hazardous Duty Pay,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,combat
Imminent Danger Pay,imminent_danger_pay,IDP,Imminent Danger Pay,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,combat
AIP,aip,AIP,Assignment Incentive Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,incentive
ACIP,acip,ACIP,Aviation Career Incentive Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,incentive
CEFIP,cefip,CEFIP,Career Enlisted Flyer Incentive Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,incentive
Flight Pay,flight_pay,FP,Flight Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,incentive
HDIP,hdip,HDIP,Hazardous Duty Incentive Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,incentive
Incentive Special Pay,incentive_special_pay,ISP,Incentive Special Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,incentive
HDP-IE,hdpie,HDP-IE,Hardship Duty Pay - Involuntary Extension,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,hardship
HDP-L,hdpl,HDP-L,Hardship Duty Pay - Location,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,hardship
HDP-M,hdpm,HDP-M,Hardship Duty Pay - Mission,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,hardship
ACP,acp,ACP,Aviation Continuation Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,continuation
CONT PAY,cont_pay,CONT PAY,Continuation Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,continuation
NUCLEAR,nuclear,NUCLEAR,Nuclear Continuation Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,continuation
Accession Bonus,accession_bonus,AB,Accession Bonus,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,bonus
CSRB,csrb,CSRB,Critical Skills Retention Bonus,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,bonus
MRB,mrb,MRB,Multiyear Retention Bonus,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,bonus
NIB,nib,NIB,Nuclear Career Annual Incentive Bonus,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,bonus
NPAB,npab,NPAB,Nuclear Power Accession Bonus,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,bonus
SEB,seb,SEB,Selective Enlistment Bonus,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,bonus
SRB,srb,SRB,Selective Reenlistment Bonus,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,bonus
PCS Member,pcs_member,PCS MEMBER,Permanent Change of Station Payment,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,pcs
Dislocation Allowance,dislocation_allowance,DLA,Dislocation Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,pcs
MIHA-M,miham,MIHA-M,Moving Housing Allowance - Miscellaneous,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,pcs
MIHA-R,mihar,MIHA-R,Moving Housing Allowance - Rent,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,pcs
MIHA-SM,mihasm,MIHA-SM,Housing Allowance - Security,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,pcs
TLE CONUS,tle_pcs,TLE CONUS,Temporary Lodging Expense in Continental U.S.,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,pcs
TLA,tla,TLA,Temporary Living Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,pcs
