state,single_bracket,single_rate,married_bracket,married_rate
AL,0,0.02,0,0.02
AL,500,0.04,1000,0.04
AL,3000,0.05,6000,0.05
AK,0,0,0,0
AZ,0,0.03,0,0.03
AR,0,0.02,0,0.02
AR,4500,0.04,4500,0.04
CA,0,0.01,0,0.01
CA,10756,0.02,21512,0.02
CA,25499,0.04,50998,0.04
CA,40245,0.06,80490,0.06
CA,55866,0.08,111732,0.08
CA,70606,0.09,141732,0.09
CA,360659,0.1,721318,0.1
CA,432787,0.11,865574,0.11
CA,721314,0.12,1000000,0.12
CA,1000000,0.13,1442628,0.13
CO,0,0.04,0,0.04
CT,0,0.02,0,0.02
CT,10000,0.05,20000,0.05
CT,50000,0.06,100000,0.06
CT,100000,0.06,200000,0.06
CT,200000,0.07,400000,0.07
CT,250000,0.07,500000,0.07
CT,500000,0.07,1000000,0.07
DE,2000,0.02,2000,0.02
DE,5000,0.04,5000,0.04
DE,10000,0.05,10000,0.05
DE,20000,0.05,20000,0.05
DE,25000,0.06,25000,0.06
DE,60000,0.07,60000,0.07
FL,0,0,0,0
GA,0,0.05,0,0.05
HI,0,0.01,0,0.01
HI,9600,0.03,19200,0.03
HI,14400,0.06,28800,0.06
HI,19200,0.06,38400,0.06
HI,24000,0.07,48000,0.07
HI,36000,0.07,72000,0.07
HI,48000,0.08,96000,0.08
HI,125000,0.08,250000,0.08
HI,175000,0.08,350000,0.08
HI,225000,0.09,450000,0.09
HI,275000,0.1,550000,0.1
HI,325000,0.11,650000,0.11
ID,4673,0.06,9346,0.06
IL,0,0.05,0,0.05
IN,0,0.03,0,0.03
IA,0,0.04,0,0.04
KS,0,0.05,0,0.05
KS,23000,0.06,46000,0.06
KY,0,0.04,0,0.04
LA,0,0.03,0,0.03
ME,0,0.06,0,0.06
ME,26800,0.07,53600,0.07
ME,63450,0.07,126900,0.07
MD,0,0.02,0,0.02
MD,1000,0.03,1000,0.03
MD,2000,0.04,2000,0.04
MD,3000,0.05,3000,0.05
MD,100000,0.05,150000,0.05
MD,125000,0.05,175000,0.05
MD,150000,0.06,225000,0.06
MD,250000,0.06,300000,0.06
MA,0,0.05,0,0.05
MA,1083150,0.09,1083150,0.09
MI,0,0.04,0,0.04
MN,0,0.05,0,0.05
MN,32570,0.07,47620,0.07
MN,106990,0.08,189180,0.08
MN,198630,0.1,330410,0.1
MI,10000,0.04,10000,0.04
MO,1313,0.02,1313,0.02
MO,2626,0.03,2626,0.03
MO,3939,0.03,3939,0.03
MO,5252,0.04,5252,0.04
MO,6565,0.04,6565,0.04
MO,7878,0.05,7878,0.05
MO,9191,0.05,9191,0.05
MT,0,0.05,0,0.05
MT,21100,0.06,42200,0.06
NE,0,0.02,0,0.02
NE,4030,0.04,8040,0.04
NE,24120,0.05,48250,0.05
NE,38870,0.05,77730,0.05
NV,0,0,0,0
NH,0,0,0,0
NJ,0,0.01,0,0.01
NJ,20000,0.02,20000,0.02
NJ,35000,0.04,50000,0.02
NJ,40000,0.06,70000,0.04
NJ,75000,0.06,80000,0.06
NJ,500000,0.09,150000,0.06
NJ,1000000,0.11,500000,0.09
NJ,0,0,1000000,0.11
NM,0,0.02,0,0.02
NM,5500,0.03,8000,0.03
NM,16500,0.04,25000,0.04
NM,33500,0.05,50000,0.05
NM,66500,0.05,100000,0.05
NM,210000,0.06,315000,0.06
NY,0,0.04,0,0.04
NY,8500,0.05,17150,0.05
NY,11700,0.05,23600,0.05
NY,13900,0.06,27900,0.06
NY,80650,0.06,161550,0.06
NY,215400,0.07,323200,0.07
NY,1077550,0.1,2155350,0.1
NY,5000000,0.1,5000000,0.1
NY,25000000,0.11,25000000,0.11
NC,0,0.04,0,0.04
ND,48475,0.02,80975,0.02
ND,244825,0.03,298075,0.03
OH,26050,0.03,26050,0.03
OH,100000,0.04,100000,0.04
OK,0,0,0,0
OK,1000,0.01,2000,0.01
OK,2500,0.02,5000,0.02
OK,3750,0.03,7500,0.03
OK,4900,0.04,9800,0.04
OK,7200,0.05,14400,0.05
OR,0,0.05,0,0.05
OR,4400,0.07,8800,0.07
OR,11050,0.09,22100,0.09
OR,125000,0.1,250000,0.1
PA,0,0.03,0,0.03
RI,0,0.04,0,0.04
RI,79900,0.05,79900,0.05
RI,181650,0.06,181650,0.06
SC,0,0,0,0
SC,3560,0.03,3560,0.03
SC,17830,0.06,17830,0.06
SD,0,0,0,0
TN,0,0,0,0
TX,0,0,0,0
UT,0,0.05,0,0.05
VT,0,0.03,0,0.03
VT,47900,0.07,79950,0.07
VT,116000,0.08,193300,0.08
VT,242000,0.09,294600,0.09
VA,0,0.02,0,0.02
VA,3000,0.03,3000,0.03
VA,5000,0.05,5000,0.05
VA,17000,0.06,17000,0.06
WA,0,0,0,0
WV,0,0.02,0,0.02
WV,10000,0.03,10000,0.03
WV,25000,0.03,25000,0.03
WV,40000,0.04,40000,0.04
WV,60000,0.05,60000,0.05
WI,0,0.04,0,0.04
WI,14680,0.04,19580,0.04
WI,29370,0.05,39150,0.05
WI,323290,0.08,431060,0.08
WY,0,0,0,0
DC,0,0.04,0,0.04
DC,10000,0.06,10000,0.06
DC,40000,0.07,40000,0.07
DC,60000,0.09,60000,0.09
DC,250000,0.09,250000,0.09
DC,500000,0.1,500000,0.1
DC,1000000,0.11,1000000,0.11
