Filing Status,Low End,High End,Pay,"Plus Percent on Excess
Over 1st Column"
Single,0.00,11600.00,0.00,0.1
Single,11600.00,47150.00,1160.00,0.12
Single,47150.00,100525.00,5426.00,0.22
Single,100525.00,191950.00,17168.50,0.24
Single,191950.00,243725.00,39110.50,0.32
Single,243725.00,609350.00,55678.50,0.35
Single,609350.00,Up,183647.25,0.37
Married Joint,0.00,23200.00,0.00,0.1
Married Joint,23200.00,94300.00,2320.00,0.12
Married Joint,94300.00,201050.00,10852.00,0.22
Married Joint,201050.00,383900.00,34337.00,0.24
Married Joint,383900.00,487450.00,78221.00,0.32
Married Joint,487450.00,731200.00,111357.00,0.35
Married Joint,731200.00,Up,196669.50,0.37
Married Separately,0.00,11600.00,0.00,0.1
Married Separately,11600.00,47150.00,1160.00,0.12
Married Separately,47150.00,100525.00,5426.00,0.22
Married Separately,100525.00,191950.00,17168.50,0.24
Married Separately,191950.00,243725.00,39110.50,0.32
Married Separately,243725.00,365600.00,55678.50,0.35
Married Separately,365600.00,Up,98334.75,0.37
Head of Household,0.00,16550.00,0.00,0.1
Head of Household,16550.00,63100.00,1655.00,0.12
Head of Household,63100.00,100500.00,7241.00,0.22
Head of Household,100500.00,191950.00,15469.00,0.24
Head of Household,191950.00,243700.00,37417.00,0.32
Head of Household,243700.00,609350.00,53977.00,0.35
Head of Household,609350.00,Up,181954.50,0.37
