header,optname,default,dtype,opt_f,opt_m,required,modal
Grade,grade,None,str,grade_f,grade_m,TRUE,basepay
Zip Code,zip_code,None,str,zip_code_f,zip code_m,TRUE,bah
Tax Residency State,tax_residency_state,None,str,tax_residency_state_f,tax residency state_m,TRUE,statetaxes
SGLI,sgli,0,Decimal,sgli_f,sgli_m,TRUE,sgli
Dependents,dependents,0,int,dependents_f,dependents_m,TRUE,bah
Federal Filing Status,federal_filing_status,Single,str,federal_filing_status_f,federal filing status_m,TRUE,federaltaxes
State Filing Status,state_filing_status,Single,str,state_filing_status_f,state filing status_m,TRUE,statetaxes
In Combat Zone,combat_zone,No,bool,combat_zone_f,combat zone_m,TRUE,combat
Traditional TSP Rate,traditional_tsp,0,Decimal,traditional_tsp_f,traditional tsp_m,FALSE,tsp
Roth TSP Rate,roth_tsp,0,Decimal,roth_tsp_f,roth tsp_m,TRUE,tsp
Meal Discount,meal_discount,0,Decimal,meal_discount_f,meal_discount_m,FALSE,bas
SEA,sea,0,Decimal,sea_f,sea_m,FALSE,bas
Separation Rations,separation_rations,0,Decimal,separation_rations_f,separation_rations_m,FALSE,bas
FLPB,flpb,0,Decimal,flpb_f,flpb_m,FALSE,flpb
Foreign Duty Pay,foreign_duty_pay,0,Decimal,foreign_duty_pay_f,foreign_duty_pay_m,FALSE,fdp
ASP,asp,0,Decimal,asp_f,asp_m,FALSE,specialty
Dive Pay,dive_pay,0,Decimal,dive_pay_f,dive_pay_m,FALSE,specialty
Jump Pay,jump_pay,0,Decimal,jump_pay_f,jump_pay_m,FALSE,specialty
HALO,halo,0,Decimal,halo_f,halo_m,FALSE,specialty
MSP,msp,0,Decimal,msp_f,msp_m,FALSE,specialty
SDAP,sdap,0,Decimal,sdap_f,sdap_m,FALSE,specialty
Special Duty Pay,special_duty_pay,0,Decimal,special_duty_pay_f,special_duty_pay_m,FALSE,specialty
Specialty Pay,specialty_pay,0,Decimal,specialty_pay_f,specialty_pay_m,FALSE,specialty
Variable Special Pay,variable_special_pay,0,Decimal,variable_special_pay_f,variable_special_pay_m,FALSE,specialty
BCP,bcp,0,Decimal,bcp_f,bcp_m,FALSE,specialty
Combat Duty,combat_duty,0,Decimal,combat_duty_f,combat_duty_m,FALSE,combat
Combat Zone Pay,combat_zone_pay,0,Decimal,combat_zone_pay_f,combat_zone_pay_m,FALSE,combat
HFP/IDP,hfpidp,0,Decimal,hfpidp_f,hfpidp_m,FALSE,combat
HFP-L,hfpl,0,Decimal,hfpl_f,hfpl_m,FALSE,combat
Hazardous Duty Pay,hazardous_duty_pay,0,Decimal,hazardous_duty_pay_f,hazardous_duty_pay_m,FALSE,combat
Imminent Danger Pay,imminent_danger_pay,0,Decimal,imminent_danger_pay_f,imminent_danger_pay_m,FALSE,combat
AIP,aip,0,Decimal,aip_f,aip_m,FALSE,incentive
ACIP,acip,0,Decimal,acip_f,acip_m,FALSE,incentive
CEFIP,cefip,0,Decimal,cefip_f,cefip_m,FALSE,incentive
Flight Pay,flight_pay,0,Decimal,flight_pay_f,flight_pay_m,FALSE,incentive
HDIP,hdip,0,Decimal,hdip_f,hdip_m,FALSE,incentive
Incentive Special Pay,incentive_special_pay,0,Decimal,incentive_special_pay_f,incentive_special_pay_m,FALSE,incentive
HDP-IE,hdpie,0,Decimal,hdpie_f,hdpie_m,FALSE,hardship
HDP-L,hdpl,0,Decimal,hdpl_f,hdpl_m,FALSE,hardship
HDP-M,hdpm,0,Decimal,hdpm_f,hdpm_m,FALSE,hardship
