Rank,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20
O9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20
O8,13380.00,13818.90,14109.30,14190.30,14553.60,15159.30,15300.60,15876.30,16042.20,16538.10,17256.00,17917.20,18359.10,18359.10,18359.10,18359.10,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20
O7,11117.70,11634.00,11873.10,12063.60,12407.10,12747.30,13140.00,13531.50,13925.10,15159.30,16202.10,16202.10,16202.10,16202.10,16285.50,16285.50,16611.00,16611.00,16611.00,16611.00,16611.00,16611.00
O6,8430.90,9261.90,9870.00,9870.00,9907.80,10332.30,10388.70,10388.70,10979.10,12022.80,12635.40,13247.70,13596.30,13949.10,14632.80,14632.80,14925.00,14925.00,14925.00,14925.00,14925.00,14925.00
O5,7028.40,7917.30,8465.40,8568.60,8910.90,9114.90,9564.90,9895.80,10322.70,10974.30,11285.10,11592.30,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90
O4,6064.20,7019.70,7488.90,7592.40,8027.10,8493.60,9075.00,9526.20,9840.60,10020.90,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00
O3,5331.60,6044.10,6522.60,7112.40,7453.80,7827.90,8069.10,8466.60,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50
O2,4606.80,5246.70,6042.90,6247.20,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30
O1,3998.40,4161.90,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30
O3E,0.00,0.00,0.00,7112.40,7453.80,7827.90,8069.10,8466.60,8802.60,8995.20,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70
O2E,0.00,0.00,0.00,6247.20,6375.30,6578.10,6920.70,7185.90,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00
O1E,0.00,0.00,0.00,5031.30,5372.40,5571.30,5774.40,5973.60,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20
