rank,drills,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O10,0,0,0,0,0,0,0,0,0,0,0,0,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O9,0,0,0,0,0,0,0,0,0,0,0,0,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O8,0,13380,13818.9,14109.3,14190.3,14553.6,15159.3,15300.6,15876.3,16042.2,16538.1,17256,17917.2,18359.1,18359.1,18359.1,18359.1,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O7,0,11117.7,11634,11873.1,12063.6,12407.1,12747.3,13140,13531.5,13925.1,15159.3,16202.1,16202.1,16202.1,16202.1,16285.5,16285.5,16611,16611,16611,16611,16611,16611
O7,1,370.59,387.8,395.77,402.12,413.57,424.91,438,451.05,464.17,505.31,540.07,540.07,540.07,540.07,542.85,542.85,553.7,553.7,553.7,533.7,553.7,553.7
O7,4,1482.36,1551.2,1583.08,1608.48,1654.28,1699.64,1752,1804.2,1856.68,2021.24,2160.28,2160.28,2160.28,2160.28,2171.4,2171.4,2214.8,2214.8,2214.8,2214.8,2214.8,2214.8
O6,0,8430.9,9261.9,9870,9870,9907.8,10332.3,10388.7,10388.7,10979.1,12022.8,12635.4,13247.7,13596.3,13949.1,14632.8,14632.8,14925,14925,14925,14925,14925,14925
O6,1,281.03,308.73,329,329,330.26,344.41,346.29,346.29,365.97,400.76,421.18,441.59,453.21,464.97,487.76,487.76,497.5,497.5,497.5,497.5,497.5,497.5
O6,4,1124.12,1234.92,1316,1316,1321.04,1377.64,1385.16,1385.16,1463.88,1603.04,1684.72,1766.36,1812.84,1859.88,1951.04,1951.04,1990,1990,1990,1990,1990,1990
O5,0,7028.4,7917.3,8465.4,8568.6,8910.9,9114.9,9564.9,9895.8,10322.7,10974.3,11285.1,11592.3,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9
O5,1,234.28,263.91,282.18,285.62,297.03,303.83,318.83,329.86,344.09,365.81,376.17,386.41,398.03,398.03,398.03,398.03,398.03,398.03,398.03,398.03,398.03,398.03
O5,4,937.12,1055.64,1128.72,1142.48,1188.12,1215.32,1275.32,1319.44,1376.36,1463.24,1504.68,1545.64,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12
O4,0,6064.2,7019.7,7488.9,7592.4,8027.1,8493.6,9075,9526.2,9840.6,10020.9,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125
O4,1,202.14,233.99,249.63,253.08,267.57,283.12,302.5,317.54,328.02,334.03,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5
O4,4,808.56,935.96,998.52,1012.32,1070.28,1132.48,1210,1270.16,1312.08,1336.12,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
O3,0,5331.6,6044.1,6522.6,7112.4,7453.8,7827.9,8069.1,8466.6,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5
O3,1,177.72,201.47,217.42,237.08,248.46,260.93,268.97,282.22,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15
O3,4,710.88,805.88,869.68,948.32,993.84,1043.72,1075.88,1128.88,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6
O2,0,4606.8,5246.7,6042.9,6247.2,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3
O2,1,153.56,174.89,201.43,208.24,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51
O2,4,614.24,699.56,805.72,832.96,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04
O1,0,3998.4,4161.9,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3
O1,1,133.28,138.73,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71
O1,4,533.12,554.92,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84
O3E,0,0,0,0,7112.4,7453.8,7827.9,8069.1,8466.6,8802.6,8995.2,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7
O3E,1,0,0,0,237.08,248.46,260.93,268.97,282.22,293.42,299.84,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59
O3E,4,0,0,0,948.32,993.84,1043.72,1075.88,1128.88,1173.68,1199.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36
O2E,0,0,0,0,6247.2,6375.3,6578.1,6920.7,7185.9,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383
O2E,1,0,0,0,208.24,212.51,219.27,230.69,239.53,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1
