index,x1,y1,x2,y2
1,74,75,2474,124
2,74,126,195,228
3,196,126,705,228
4,706,126,990,228
5,990,126,1170,228
6,1170,126,1380,228
7,1380,126,1590,228
8,1590,126,1740,228
9,1740,126,1920,228
10,1920,126,2145,228
11,2146,126,2474,228
12,74,228,764,275
13,764,228,1334,275
14,1334,228,1904,275
15,1904,228,2474,275
16,75,276,479,364
17,480,276,764,364
18,764,276,1334,364
19,1334,276,1904,364
20,1904,276,2474,365
21,74,367,166,936
22,166,367,764,832
23,766,366,1334,832
24,1334,366,1904,832
25,1904,367,2474,442
26,1904,443,2474,520
27,1904,520,2474,596
28,1904,597,2474,674
29,1904,674,2474,750
30,1904,751,2474,830
31,166,831,764,935
32,766,832,1334,935
33,1334,832,1904,935
34,1904,832,2129,935
35,2130,832,2474,935
36,74,936,224,1038
37,224,936,449,1038
38,450,936,674,1038
39,675,936,899,1038
40,900,936,1124,1038
41,1125,936,1349,1038
42,1350,936,1574,1038
43,1575,936,1799,1038
44,1800,936,2024,1038
45,2025,936,2249,1038
46,2250,936,2474,1038
47,74,1040,224,1138
48,224,1040,434,1138
49,434,1040,704,1138
50,704,1040,929,1138
51,930,1040,1199,1138
52,1200,1040,1424,1138
53,1425,1040,1559,1138
54,1560,1040,1634,1138
55,1634,1040,1859,1138
56,1860,1040,2084,1138
57,2084,1040,2159,1138
58,2160,1040,2234,1138
59,2234,1040,2474,1138
60,74,1140,224,1238
61,224,1140,434,1238
62,434,1140,614,1238
63,614,1140,764,1238
64,764,1140,944,1238
65,944,1140,1154,1238
66,1155,1140,1364,1238
67,1364,1140,1484,1238
68,1484,1140,1634,1238
69,1634,1140,1814,1238
70,1814,1140,1994,1238
71,1994,1140,2189,1238
72,2190,1140,2279,1238
73,2280,1140,2474,1238
74,74,1240,374,1338
75,376,1240,614,1338
76,614,1240,914,1338
77,914,1240,1169,1338
78,1170,1240,1454,1338
79,1454,1240,1664,1338
80,1664,1240,1919,1338
81,1920,1240,2174,1338
82,2174,1240,2474,1338
83,74,1340,374,1438
84,376,1340,614,1438
85,614,1340,914,1438
86,914,1340,1169,1438
87,1170,1340,1454,1438
88,1454,1340,1664,1438
89,1664,1340,1919,1438
90,1920,1340,2174,1438
91,2174,1340,2474,1438
92,74,1440,374,1538
93,376,1440,695,1538
94,696,1440,1013,1538
95,1334,1440,1652,1538
96,1652,1440,2042,1538
97,2044,1440,2474,1538
98,1014,1440,1332,1538
99,74,1540,374,1642
100,376,1540,724,1642
101,724,1540,1074,1642
102,1074,1540,1253,1642
103,1252,1540,1404,1642
104,1406,1540,1553,1642
105,1552,1540,1704,1642
106,1706,1540,1824,1642
107,2306,1540,2474,1642
108,1826,1540,1974,1642
109,1976,1540,2154,1642
110,2156,1540,2304,1642
111,74,1715,2474,2530
